===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-01-14 18:54:47
count workspace : /Users/fabrizioguespe/Developer/htdocs/fastway/wp-content/themes/fastway
total files : 233
total code lines : 26654
total comment lines : 4548
total blank lines : 4559

404.php, code is 3, comment is 0, blank is 2.
templates/headers/header-15-3.php, code is 23, comment is 0, blank is 2.
templates/headers/header-15-4.php, code is 23, comment is 0, blank is 2.
templates/headers/header-2-1.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-2.php, code is 24, comment is 0, blank is 0.
templates/headers/header-2-3.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-4.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-5.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-1.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-2.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-3.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-4.php, code is 23, comment is 0, blank is 1.
templates/headers/header-3-5.php, code is 23, comment is 0, blank is 0.
templates/headers/header-4-1.php, code is 31, comment is 0, blank is 3.
templates/headers/header-4-2.php, code is 37, comment is 0, blank is 2.
templates/headers/header-7-1.php, code is 24, comment is 0, blank is 3.
templates/headers/header-8-1.php, code is 13, comment is 0, blank is 3.
templates/headers/header-9-1.php, code is 36, comment is 0, blank is 0.
templates/headers/header-9-2.php, code is 36, comment is 0, blank is 2.
templates/mobile-headers/mobile-header-1.php, code is 27, comment is 0, blank is 7.
templates/mobile-headers/mobile-header-2.php, code is 40, comment is 0, blank is 4.
templates/mobile-headers/mobile-header-3.php, code is 11, comment is 1, blank is 0.
templates/mobile-headers/mobile-header-4.php, code is 49, comment is 1, blank is 7.
templates/mobile-headers/mobile-header-5.php, code is 51, comment is 1, blank is 7.
templates/mobile-product-loops/mobile-product-loop-1.php, code is 18, comment is 28, blank is 7.
templates/product-loops/product-loop-1.php, code is 8, comment is 30, blank is 4.
templates/product-loops/product-loop-2.php, code is 43, comment is 29, blank is 6.
templates/product-loops/product-loop-3.php, code is 60, comment is 17, blank is 12.
templates/product-loops/product-loop-4.php, code is 14, comment is 23, blank is 4.
templates/product-loops/product-loop-5.php, code is 44, comment is 23, blank is 11.
templates/product-loops/product-loop-6.php, code is 58, comment is 23, blank is 5.
templates/product-loops/product-loop-7.php, code is 58, comment is 17, blank is 6.
templates/product-loops/product-loop-8.php, code is 56, comment is 17, blank is 9.
templates/single-products/single-product-1.php, code is 89, comment is 2, blank is 13.
vc_templates/vc_column.php, code is 77, comment is 14, blank is 12.
vc_templates/vc_column_inner.php, code is 40, comment is 12, blank is 7.
vc_templates/vc_row.php, code is 115, comment is 26, blank is 19.
vc_templates/vc_row_inner.php, code is 58, comment is 14, blank is 11.
woocommerce.php, code is 38, comment is 13, blank is 16.
woocommerce/cart/cart-empty.php, code is 13, comment is 20, blank is 4.
woocommerce/cart/cart.php, code is 118, comment is 24, blank is 26.
woocommerce/cart/mini-cart.php, code is 47, comment is 19, blank is 11.
woocommerce/cart/proceed-to-checkout-button.php, code is 8, comment is 19, blank is 2.
woocommerce/checkout/form-checkout.php, code is 32, comment is 17, blank is 18.
woocommerce/checkout/form-coupon.php, code is 21, comment is 17, blank is 7.
woocommerce/checkout/form-pay.php, code is 72, comment is 16, blank is 10.
woocommerce/checkout/payment.php, code is 38, comment is 16, blank is 6.
woocommerce/checkout/review-order.php, code is 86, comment is 16, blank is 17.
woocommerce/content-product.php, code is 21, comment is 18, blank is 6.
woocommerce/content-single-product.php, code is 15, comment is 17, blank is 5.
woocommerce/global/form-login.php, code is 35, comment is 17, blank is 11.
woocommerce/global/quantity-input.php, code is 18, comment is 16, blank is 2.
woocommerce/global/wrapper-end.php, code is 6, comment is 17, blank is 1.
woocommerce/global/wrapper-start.php, code is 10, comment is 19, blank is 4.
woocommerce/loop/add-to-cart.php, code is 17, comment is 16, blank is 1.
woocommerce/loop/orderby.php, code is 26, comment is 18, blank is 2.
woocommerce/myaccount/downloads.php, code is 20, comment is 18, blank is 9.
woocommerce/myaccount/form-edit-account.php, code is 45, comment is 16, blank is 12.
woocommerce/myaccount/form-edit-address.php, code is 33, comment is 16, blank is 13.
woocommerce/myaccount/form-login.php, code is 68, comment is 17, blank is 36.
woocommerce/myaccount/form-lost-password.php, code is 19, comment is 16, blank is 10.
woocommerce/myaccount/form-reset-password.php, code is 25, comment is 16, blank is 11.
woocommerce/myaccount/my-address.php, code is 51, comment is 18, blank is 12.
woocommerce/myaccount/my-orders.php, code is 84, comment is 5, blank is 16.
woocommerce/myaccount/navigation.php, code is 15, comment is 16, blank is 4.
woocommerce/myaccount/orders.php, code is 72, comment is 19, blank is 16.
woocommerce/product-searchform.php, code is 14, comment is 16, blank is 3.
woocommerce/single-product-reviews.php, code is 80, comment is 19, blank is 14.
woocommerce/single-product/add-to-cart/simple.php, code is 29, comment is 28, blank is 13.
woocommerce/single-product/add-to-cart/variation-add-to-cart-button.php, code is 21, comment is 14, blank is 4.
woocommerce/single-product/price.php, code is 7, comment is 17, blank is 3.
woocommerce/single-product/product-thumbnails.php, code is 24, comment is 16, blank is 6.
woocommerce/single-product/rating.php, code is 21, comment is 17, blank is 6.
woocommerce/single-product/review-rating.php, code is 9, comment is 17, blank is 3.
woocommerce/single-product/short-description.php, code is 12, comment is 17, blank is 4.
===============================================================================
